metal,linker
Zn,"4,4′-(4H-1,2,4-triazole-3,5-diyl)dibenzoic acid"
Zn,"4,4′-[1,4-phenylenebis(ethyne-2,1-diyl)]-dibenzoic acid"
Zn,"4,4′-dicarboxybiphenyl sulfone"
Zn,"4,5-di(4'-carboxylphenyl)phthalic acid"
Zn,"4-(3,5-dicarboxylatobenzyloxy)benzoic acid"
Zn,"4-(3,5-dicarboxylphenyl) picolinic acid"
Zn,"4-(4-carboxyphenyl)-1,2,4-triazole"
Zn,4-(aminomethyl)benzoic acid
Zn,4-(imidazol-1-yl)-benzoic acid
Zn,4-(trifluoromethyl)phthalic acid
Zn,"4-amino-1,2,4-triazole"
Zn,4-phosphonoethanesulfonic acid
Zn,4-pyridinecarboxaldehyde
Zn,"4′-(4-(3,5-dicarboxylphenoxy)phenyl)-4,2′:6′,4″-terpyridine"
Zn,"4′-(4-methoxyphenyl)-4,2′:6′,4″-terpyridine"
Zn,"5,10,15,20-tetrakis(3,4,5-trihydroxyphenyl)porphyrin"
Zn,"5,5′-(1,4/1,3-phenylenebis(methoxy))diisophthalic acid"
Zn,"5,5′-(ethene-1,2-diyl)diisophthalic acid"
Zn,"5,5′-(pentane-1,4-diylbis(oxy))diisophthalic acid"
Zn,5-(((1H-imidazol-2-yl)methyl)amino)isophthalic acid
Zn,5-(2-carboxylphenoxy)isophthalic acid
Zn,"5-(3,5)-(dicarboxybenzyloxy)isophthalic acid"
Zn,5-(imidazol-1-yl)-N′-(pyridin-4-ylmethylene) nicotinohydrazide
Zn,5-(tert-butyl)isophthalic acid
Zn,5-azidoisophthalic acid
Zn,5-hydroxynicotinic acid
Zn,"5’-(4,5-Bis(4-carboxyphenyl)-1H-imidazol-2-yl)-[1,1’:3’,1’’-terphenyl]-4,4’’-dicarboxylic acid"
Zn,BenzeneDiSulfonic Acid
Zn,"Bicyclo[1.1.1]pentane-1,3-dicarboxylic acid"
Zn,"H3L1 (4,4′,4″-((benzene-1,3,5-tricarbonyl)tris(azanediyl))tribenzoic acid)"
Zn,KHClCNAn
Zn,L-(+)-tartaric acid
Zn,"N,N,N′,N′-tetra(2-pyridyl)biphenyl-4,4′-diamine"
Zn,"N,N′-bis(3-pyridinecarboxamide)-1,6-hexane"
Zn,"N,N′-bis(4-carboxyphenyl)urea"
Zn,"N,N′-di(3-pyridyl)suberoamide"
Zn,"N-(pyridin-4-yl)-4-(pyridin-4-yl)-1,8-naphthalimide"
Zn,"Poly-2,5-bis(pent-4-en-1-yloxy)terephthalic acid"
Zn,"R,S-hydroxyphosphonoacetic acid"
Zn,SinMe2n-(C6H4CO2H)2
Zn,alkane dioic acid
Zn,aminoterephthalic acid
Zn,"benzene-1,2-dicarboxylic acid"
Zn,"benzene-1,4-dicarboxylate"
Zn,"benzothiadiazolyl-substituted 4,4′-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid"
Zn,"biphenyl-2,4,6,3’,5’-pentacarboxylic acid"
Zn,"biphenyl-3,3′,5-tricarboxylic acid"
Zn,bis(2-hydroxyethyl) terephthalate
Zn,bis(4-pyridyl)acetylene
Zn,bis(4-pyridylformyl)piperazine
Zn,bis(N-imidazolyl)methane
Zn,chelidamic acid
Zn,dibenzobarrelene-based dicarboxylic acid
Zn,gamma-cyclodextrin
Zn,mellitic acid
Zn,monosodium 2-sulfoterephthalate
Zn,"naphthalene-2,6-diylbis(phosphonic acid)"
Zn,"pyrazine-2,5-dicarboxylic acid"
Zn,"pyrazine-2,6-dicarboxylic acid"
Zn,"pyridine-2,4,6-tricarboxylic acid"
Zn,"pyridine-2-yl-1H-imidazole-4,5-dicarboxylic acid"
Zn,"pyridine-3,5-dicarboxylate"
Zn,"pyridyl-2,5-dicarboxylic acid N-oxide"
Zn,sodium azide
Zn,"terphenyl-2,5,2’,5’-tetracarboxylic acid"
Zn,tetrabromoterephthalic acid
Zn,thiobis(4-methylene-benzoic acid)
Zn,"trans-2,2′-[cyclohexane-1,4-diylbis(azanediyl)]bis(2-oxoacetic acid)"
Zn,triphosphaazatriangulene
Zn,"α,α′-p-xylylenebis(1-(4-pyridylmethylene)-piper-4-azine)"
Zn,"(2,5-dimethyl-1,4-phenylene)bis(phosphonic acid)"
Zn,"(4,4′-anthracene-9,10-diylbis(ethyne-2,1-diyl))dibenzoic acid"
Zn,(4-pyridyl)tetrazole
Zn,"(R,R)-(−)-1,2-cyclohexanediamino-N,N′-bis(3-tert-butyl-5-(4-pyridyl)salicylidene)zinc(II)"
Zn,"(S,S)-H4L"
Zn,"1,1'-(1,5-pentanediyl)bis-1H-benzimidazole"
Zn,"1,1'-methylenebis(1H-pyrazole-4-carboxylic acid)"
Zn,"1,1,2,2-tetrakis(4-pyridylphenyl)ethylene"
Zn,"1,10,100-(2,4,6-trimethylbenzene-1,3,5-triyl(methylene))-tris(pyridine-4-carboxylic acid)"
Zn,"1,1′,1″-(1,3,5-triazine-2,4,6-triyl)-tripiperidine-4-carboxylic acid"
Zn,"1,1′-(5-methyl-1,3-phenylene)bis(1H-imidazole)"
Zn,"1,2,3,5-benzenetetracarboxylic acid"
Zn,"1,2,4-benzene tricarboxylic acid"
Zn,"1,2,5-thiadiazole-3,4-dicarboxylic acid"
Zn,"1,2-bis(4-pyridyl)-ethane"
Zn,"1,2-bis(imidazol-1′-yl)ethane"
Zn,"1,3,5-triamino-2,4,6-benzenetriol"
Zn,"1,3,5-triaza-7-phosphaadamantane"
Zn,"1,3,5-trifluoro-2,4,6-tris(4-carboxy-phenyl)benzene"
Zn,"1,3,5-tris(1H-imidazol-1-yl)benzene"
Zn,"1,3,5-tris(4-phosphonophenyl)benzene"
Zn,"1,3-bis(carboxymethyl)imidazole"
Zn,"1,3-bis(carboxymethyl)imidazolium bromide"
Zn,"1,3-bis(imidazol)propane"
Zn,"1,3-bis(pyridin-4-ylmethyl)urea"
Zn,"1,3-di(4′-carboxyl-phenyl)benzene acid"
